wavelength,flux
3111.339040155947,7.527246086479592e-16
3113.7558272756505,-8.553007354609647e-17
3116.172614395354,-3.5424789446362205e-17
3118.589401515058,2.930304323363794e-16
3121.0061886347603,6.150759406761984e-16
3123.422975754464,1.7602016158355235e-16
3125.8397628741677,6.132904700016979e-16
3128.2565499938714,4.1414244087828767e-16
3130.6733371135747,9.785898264111152e-18
3133.090124233278,2.7265813019032795e-16
3135.5069113529817,8.70115994449628e-16
3137.923698472685,8.125879661204088e-16
3140.3404855923886,1.1341832241334098e-16
3142.757272712092,-1.690539941800794e-16
3145.174059831795,-8.647132407070958e-16
3147.590846951499,5.232185439684931e-16
3150.007634071202,8.070677671068137e-16
3152.424421190906,-7.955883750662485e-16
3154.841208310609,6.747447320532681e-17
3157.257995430313,-1.7001883024723544e-17
3159.674782550016,2.563214897809604e-16
3162.09156966972,-1.308853240094405e-16
3164.508356789423,7.1777689065518435e-16
3166.9251439091267,3.5862006406090294e-17
3169.3419310288305,9.05217331374338e-17
3171.7587181485333,7.168406904781426e-16
3174.1755052682374,-1.4734311571414202e-16
3176.59229238794,1.1283152131409229e-15
3179.009079507644,8.560065337380294e-17
3181.425866627347,4.185942123743066e-16
3183.842653747051,4.726538625054701e-16
3186.259440866754,2.866584385336492e-16
3188.676227986458,7.093978159138367e-16
3191.093015106161,2.537588776377659e-16
3193.5098022258644,2.930518000005293e-16
3195.926589345568,2.7630184923801823e-16
3198.3433764652714,2.6052219459597383e-16
3200.760163584975,4.88406900019152e-16
3203.1769507046783,4.4311659797520415e-16
3205.593737824382,1.2696008992800422e-17
3208.0105249440853,5.443534066004396e-16
3210.427312063789,6.363057128408516e-16
3212.8440991834923,6.626899700012394e-17
3215.2608863031955,3.807808589795207e-16
3217.6776734228993,3.215419856925559e-16
3220.0944605426025,4.800604474311338e-16
3222.5112476623062,6.629068807477609e-17
3224.92803478201,-1.5559027372438908e-17
3227.344821901713,2.69219692052807e-17
3229.7616090214165,2.1791113783228558e-17
3232.17839614112,3.9344317944058916e-16
3234.595183260824,1.2628127288930554e-16
3237.0119703805267,3.1625376153739743e-16
3239.4287575002304,5.687068060149784e-16
3241.8455446199337,3.382210174931087e-16
3244.2623317396374,1.9597679532652798e-16
3246.6791188593406,4.221853119985984e-17
3249.0959059790443,2.0492556303496316e-16
3251.5126930987476,9.165524043871542e-17
3253.9294802184513,3.263083770889264e-16
3256.3462673381546,3.3713470813694593e-16
3258.763054457858,5.307853739646596e-16
3261.1798415775615,3.4191820644031464e-16
3263.596628697265,1.678056402268619e-16
3266.0134158169685,1.6418726455500372e-16
3268.430202936672,3.1500990204722513e-16
3270.8469900563755,2.0975918456398662e-16
3273.2637771760787,4.6317378239761085e-17
3275.6805642957825,3.6259928626896357e-16
3278.0973514154857,3.028582441474961e-16
3280.5141385351894,2.0026888604742252e-16
3282.9309256548922,5.918719078293424e-17
3285.347712774596,3.09112124497627e-16
3287.7644998942997,1.2720309010778055e-16
3290.181287014003,2.955569941216382e-16
3292.5980741337066,2.669052197537063e-16
3295.01486125341,1.8285700185540294e-16
3297.4316483731136,2.3839438024447787e-16
3299.848435492817,1.0331358730197776e-16
3302.2652226125206,1.955489492793766e-16
3304.682009732224,8.475710805356369e-17
3307.098796851927,2.4676372704360443e-16
3309.515583971631,2.605767706181534e-16
3311.932371091334,1.8155284272806143e-16
3314.349158211038,1.0176767989180607e-16
3316.7659453307406,2.277693559107253e-16
3319.1827324504447,4.2193443620074725e-16
3321.599519570148,2.0152713437090122e-16
3324.0163066898517,2.7928935274972503e-16
3326.433093809555,4.2583070500800656e-17
3328.8498809292582,2.3408591351101594e-16
3331.2666680489624,9.877490730123456e-17
3333.683455168665,3.234040981088658e-16
3336.100242288369,4.099286958298084e-16
3338.5170294080717,2.657290475236054e-16
3340.9338165277763,2.6605808215214264e-16
3343.350603647479,8.567056765186634e-17
3345.767390767183,2.0160441703907743e-16
3348.184177886886,2.2059132713782692e-16
3350.6009650065894,1.6856803487078306e-16
3353.017752126293,1.345726355528596e-16
3355.4345392459963,1.2239272900405056e-16
3357.8513263657,2.0217273183313872e-16
3360.2681134854033,1.8082716393909542e-16
3362.684900605107,3.6476111505289094e-16
3365.1016877248103,7.690278115818144e-17
3367.518474844514,2.5149365417119123e-16
3369.9352619642173,1.9943270763004463e-16
3372.3520490839205,1.22464846854454e-17
3374.7688362036242,5.476122077443153e-17
3377.1856233233275,5.993445022036712e-17
3379.602410443031,2.137041691114899e-16
3382.0191975627345,2.7078434546005647e-16
3384.435984682438,1.4167958744647e-16
3386.852771802142,8.894081456331405e-17
3389.2695589218447,2.4816928803855744e-16
3391.6863460415484,1.251314638366075e-16
3394.103133161252,1.741776000589363e-16
3396.519920280956,1.7680308344071712e-16
3398.9367074006586,2.2759613099781936e-16
3401.3534945203623,5.128650437683117e-17
3403.7702816400656,2.133872998875877e-16
3406.1870687597693,2.1167891055015726e-16
3408.6038558794726,2.1307352491648207e-16
3411.0206429991763,1.2517506844082275e-16
3413.4374301188795,1.5861716894532472e-16
3415.8542172385833,1.6991890835975791e-16
3418.2710043582865,6.196895151592966e-17
3420.68779147799,1.2409367564403703e-16
3423.1045785976935,1.635019359595983e-16
3425.5213657173967,1.705756024083648e-16
3427.9381528371005,1.9630127754822131e-16
3430.3549399568037,2.7017949124202592e-16
3432.7717270765074,1.7972662311857535e-16
3435.1885141962107,1.2039348679491283e-16
3437.605301315915,1.5737758221458443e-16
3440.0220884356177,2.7893436683191043e-16
3442.4388755553214,1.432631794294193e-16
3444.855662675024,1.3584576054228066e-16
3447.272449794728,2.2978658500731127e-16
3449.689236914431,1.9731894338399296e-16
3452.106024034135,1.3944115809492248e-16
3454.5228111538386,1.902114269866066e-16
3456.939598273542,1.452410426122108e-16
3459.3563853932455,1.6149732162843763e-16
3461.773172512949,2.3803026580248024e-16
3464.189959632652,1.8160945433658475e-16
3466.6067467523553,2.374932068452305e-16
3469.0235338720595,2.5542013099014423e-16
3471.4403209917637,5.1758972425987174e-17
3473.8571081114655,1.1661748588893136e-16
3476.273895231169,2.770661261842124e-16
3478.690682350873,2.5034871422172724e-16
3481.1074694705767,1.6652543223918523e-16
3483.52425659028,1.5937928588801164e-16
3485.9410437099837,3.256805433215661e-16
3488.357830829687,1.9669048400453214e-16
3490.77461794939,2.148405848125287e-16
3493.1914050690943,6.615650496306064e-17
3495.608192188797,1.2180783464131848e-16
3498.0249793085013,1.9410827971336816e-16
3500.4417664282037,1.447495281213167e-16
3502.858553547908,1.7276244062530083e-16
3505.275340667611,2.17466625436229e-16
3507.692127787315,2.1039549462107323e-16
3510.108914907018,1.7725561624359491e-16
3512.5257020267213,1.733607584737495e-16
3514.942489146425,2.0634766738897546e-16
3517.359276266128,1.85513740284998e-16
3519.776063385832,2.008847007845332e-16
3522.1928505055357,2.061708426252534e-16
3524.6096376252394,2.0926025311533902e-16
3527.0264247449413,1.9288450373016044e-16
3529.4432118646455,1.9679572935218382e-16
3531.859998984349,1.4509447449017674e-16
3534.2767861040525,2.4739217671770046e-16
3536.693573223756,2.497025589577426e-16
3539.1103603434594,1.8751258012510207e-16
3541.527147463163,2.1004402746625026e-16
3543.943934582867,1.5998734975893315e-16
