wavelength,flux
3118.7951858156894,1.0528052685940223e-16
3121.2176722448758,3.970652841806771e-16
3123.6401586740617,2.4878629302928284e-16
3126.062645103248,3.596303422679969e-16
3128.485131532434,3.192502183917237e-16
3130.9076179616204,3.164475835581388e-16
3133.3301043908064,8.926362423130108e-17
3135.7525908199927,1.2253890067901184e-16
3138.1750772491787,1.2650786383764715e-16
3140.597563678365,7.553678993319248e-17
3143.020050107551,3.5669997045283073e-16
3145.4425365367374,1.4693457070519594e-16
3147.8650229659233,7.136481105884964e-16
3150.2875093951097,2.5469841066898976e-16
3152.7099958242957,0.0
3155.132482253482,1.4805949826031018e-16
3157.554968682668,2.259114853958623e-16
3159.9774551118544,2.0663038088193303e-16
3162.3999415410403,3.557854420728536e-16
3164.8224279702267,2.5769413043921433e-16
3167.2449143994127,3.811071489810673e-17
3169.667400828599,3.0307965332414143e-16
3172.089887257785,2.556231355909873e-16
3174.5123736869714,3.0608433836965835e-16
3176.9348601161573,2.4975118896277077e-16
3179.3573465453437,3.703460646081749e-16
3181.7798329745297,4.3206147198992697e-16
3184.202319403716,1.290078963082514e-16
3186.624805832902,1.044508727126022e-16
3189.0472922620884,4.8278729858830666e-17
3191.4697786912743,2.493990057948416e-16
3193.8922651204607,5.670496567520621e-16
3196.3147515496466,5.16644700511651e-17
3198.737237978833,1.9478284843720895e-16
3201.159724408019,3.8828222232363606e-16
3203.5822108372054,3.991538598668542e-16
3206.0046972663913,4.005550884902344e-16
3208.4271836955777,2.022518588265953e-16
3210.8496701247636,1.2482565221499516e-17
3213.27215655395,2.579328305351407e-17
3215.694642983136,1.13669622693963e-16
3218.1171294123224,2.566837030280362e-16
3220.5396158415083,0.0
3222.9621022706947,0.0
3225.3845886998806,1.4468406915691255e-16
3227.807075129067,1.0777064908073375e-16
3230.229561558253,1.4905755883758772e-16
3232.6520479874393,4.083037061466273e-16
3235.0745344166253,2.2708817970467517e-16
3237.4970208458117,0.0
3239.9195072749976,4.096130893738192e-17
3242.3419937041836,2.271983387296586e-16
3244.76448013337,5.599657534028977e-17
3247.1869665625563,2.5744788963518103e-16
3249.609452991742,2.0249654577309448e-16
3252.031939420928,1.9840979403910536e-16
3254.4544258501146,7.333326229550714e-17
3256.876912279301,5.098944202056906e-17
3259.299398708487,1.1024836427516252e-16
3261.721885137673,2.055444547482731e-16
3264.1443715668597,1.728287436584539e-16
3266.566857996045,2.705019984720934e-16
3268.9893444252316,1.5725329607423308e-16
3271.4118308544175,7.687702451474058e-17
3273.8343172836044,1.3817299575375446e-16
3276.25680371279,1.6008220017910192e-16
3278.6792901419763,2.398366306653622e-16
3281.101776571162,1.71717868195734e-16
3283.524263000349,2.055407120887545e-16
3285.9467494295345,1.9432117200724344e-16
3288.369235858721,2.290909989296566e-16
3290.791722287907,2.64797448495773e-16
3293.2142087170937,2.09861603719922e-16
3295.636695146279,1.3131493321401367e-16
3298.0591815754656,1.7540854656590972e-16
3300.4816680046515,1.9540552777723242e-16
3302.9041544338384,2.605426602503868e-16
3305.326640863024,2.5437349458781233e-16
3307.7491272922102,1.226158479241525e-16
3310.171613721396,1.2024746278592963e-16
3312.594100150583,1.6464748106566488e-16
3315.0165865797685,1.4256307207648928e-16
3317.439073008955,1.588048826840763e-16
3319.861559438141,2.0563635000685643e-16
3322.284045867327,1.4286395342798892e-16
3324.706532296513,1.3830519488796067e-16
3327.1290187256996,1.2169138914643192e-16
3329.5515051548855,1.2808214169054708e-16
3331.973991584072,1.02199472872476e-16
3334.396478013258,1.6605039514693462e-16
3336.818964442444,9.988124348381518e-17
3339.24145087163,1.518088068754591e-16
3341.6639373008165,1.7819476090300146e-16
3344.0864237300025,1.9267667230744503e-16
3346.508910159189,1.327186231634889e-16
3348.931396588375,1.755211985672983e-16
3351.353883017561,1.3291601060113196e-16
3353.776369446747,1.7484108468973492e-16
3356.198855875933,1.1961743761596228e-16
3358.6213423051195,1.4037849128966467e-16
3361.043828734306,1.773818290423075e-16
3363.466315163492,2.018509750746296e-16
3365.8888015926777,1.0183486053320796e-16
3368.311288021864,1.1940057749859775e-16
3370.7337744510505,1.3134554910346371e-16
3373.1562608802365,1.3641213756733588e-16
3375.5787473094224,1.9110709534214615e-16
3378.001233738609,1.81604061375328e-16
3380.423720167795,1.746492566189519e-16
3382.846206596981,1.1614345719237543e-16
3385.268693026167,1.1052883291411833e-16
3387.6911794553534,1.6162459322294375e-16
3390.11366588454,1.1569097414280058e-16
3392.536152313726,1.2009501694899299e-16
3394.9586387429117,1.1478956827994672e-16
3397.381125172098,9.898928558904171e-17
3399.8036116012845,2.212789150832717e-16
3402.2260980304704,1.6023903919827974e-16
3404.6485844596564,1.3263226828699898e-16
3407.0710708888428,1.796568848761927e-16
3409.493557318029,1.1250438483455124e-16
3411.916043747215,1.9059122677087799e-16
3414.338530176401,1.4843068920651295e-16
3416.7610166055874,1.8253274109619791e-16
3419.183503034774,1.6703493997494846e-16
3421.6059894639598,1.5157043030790196e-16
3424.028475893146,1.988429086031889e-16
3426.4509623223325,1.836924195663154e-16
3428.873448751519,1.5319898869875662e-16
3431.2959351807044,1.069793999111972e-16
3433.718421609891,1.605929511678594e-16
3436.1409080390767,1.7270820702588826e-16
3438.5633944682636,1.603443523595628e-16
3440.985880897449,1.4953821998229462e-16
3443.4083673266355,1.5135526177807103e-16
3445.8308537558214,1.1673327703013694e-16
3448.2533401850083,1.7296473005065223e-16
3450.6758266141937,1.5562599992514514e-16
3453.09831304338,1.148562986838123e-16
3455.520799472566,1.756948218031655e-16
3457.9432859017525,1.1384287475737347e-16
3460.3657723309384,1.2182919097732705e-16
3462.788258760125,1.8925657209698735e-16
3465.2107451893107,1.327940851424302e-16
3467.633231618497,1.9807047324732202e-16
3470.0557180476835,1.6002229057485575e-16
3472.4782044768695,1.7057238582377803e-16
3474.9006909060554,1.5092034317596414e-16
3477.323177335242,1.7738701240258032e-16
3479.7456637644273,1.3894569243835242e-16
3482.1681501936137,1.7030479528127114e-16
3484.5906366228,1.7650210836548195e-16
