wavelength,flux
3849.5149253731342,7.12412169e-16
3850.458562450903,6.91165244e-16
3851.4021995286726,6.935484500000001e-16
3852.3458366064415,6.95802954e-16
3853.2884917517677,7.227726799999999e-16
3854.2321288295366,7.470241309999999e-16
3855.1757659073055,7.35485331e-16
3856.119402985075,7.545398839999999e-16
3857.063040062844,7.70944951e-16
3858.006677140613,7.495404769999999e-16
3858.9503142183817,7.495094110000001e-16
3859.893951296151,7.49549353e-16
3860.83758837392,7.3073889e-16
3861.7812254516894,7.03269889e-16
3862.7248625294583,7.048387219999999e-16
3863.668499607227,7.237978579999999e-16
3864.612136684996,7.280317100000001e-16
3865.555773762765,7.31431218e-16
3866.4994108405344,7.78724765e-16
3867.4430479183034,7.936675109999999e-16
3868.385703063629,7.928087579999999e-16
3869.3293401413985,7.976328640000001e-16
3870.2729772191674,7.91641564e-16
3871.2166142969368,7.90658547e-16
3872.1602513747052,7.954759959999999e-16
3873.1038884524746,7.91594965e-16
3874.0475255302435,7.994724149999999e-16
3874.991162608013,8.10449808e-16
3875.934799685782,8.066686319999999e-16
3876.878436763551,7.983518199999999e-16
3877.8220738413197,7.87918082e-16
3878.765710919089,7.846672469999999e-16
3879.709347996858,8.031737070000001e-16
3880.652985074627,8.25843011e-16
3881.596622152396,8.347323249999999e-16
3882.539277297722,8.408856119999999e-16
3883.482914375491,8.26091539e-16
3884.4265514532603,8.092315769999999e-16
3885.3701885310293,8.162769019999999e-16
3886.313825608798,8.380075689999999e-16
3887.257462686567,8.153937399999999e-16
3888.2010997643365,7.97985685e-16
3889.1447368421054,8.24103315e-16
3890.0883739198744,8.306870879999999e-16
3891.0320109976433,8.350407659999999e-16
3891.9756480754127,8.53325326e-16
3892.9192851531816,8.561612079999999e-16
3893.862922230951,8.52087124e-16
3894.80655930872,8.503829319999999e-16
3895.7501963864884,8.476136199999999e-16
3896.6938334642578,8.445735899999999e-16
3897.636488609584,8.351916579999999e-16
3898.580125687353,8.42880493e-16
3899.523762765122,8.309866529999999e-16
3900.4673998428907,8.027454399999999e-16
3901.41103692066,8.27229886e-16
3902.354673998429,8.520893429999999e-16
3903.2983110761984,8.556774659999999e-16
3904.241948153967,8.650039229999999e-16
3905.1855852317362,8.754576319999999e-16
3906.129222309505,8.539022659999999e-16
3907.0728593872745,8.355067560000001e-16
3908.0164964650435,8.582692579999999e-16
3908.9601335428124,8.89437332e-16
3909.9037706205813,8.721335700000001e-16
3910.8474076983503,8.51905166e-16
3911.7910447761196,8.659958160000001e-16
3912.7336999214453,8.82269962e-16
3913.6773369992143,8.822300199999999e-16
3914.6209740769837,8.7041606400000005e-16
3915.5646111547526,8.57847648e-16
3916.508248232522,8.68179312e-16
3917.451885310291,8.839808109999999e-16
3918.39552238806,8.64873002e-16
3919.3391594658287,8.44622408e-16
3920.282796543598,8.72854745e-16
3921.226433621367,9.03969563e-16
3922.170070699136,8.782047540000001e-16
3923.113707776905,8.35619925e-16
3924.0573448546743,8.34716792e-16
3925.000981932443,8.44380537e-16
3925.944619010212,8.279421849999999e-16
3926.888256087981,8.018866869999999e-16
3927.8309112333072,8.23683924e-16
3928.774548311076,8.34341781e-16
3929.7181853888455,8.338003449999999e-16
3930.6618224666145,8.042144180000001e-16
3931.6054595443834,7.559800149999999e-16
3932.5490966221523,7.424818379999999e-16
3933.4927336999217,7.246810200000001e-16
3934.4363707776906,7.454286700000001e-16
3935.38000785546,7.55633851e-16
3936.3236449332285,7.578417559999999e-16
3937.267282010998,7.85255282e-16
3938.210919088767,7.9671641700000005e-16
3939.154556166536,8.11359598e-16
3940.098193244305,8.36669512e-16
3941.0418303220736,8.40419622e-16
3941.985467399843,8.341975459999999e-16
3942.928122545169,8.42403408e-16
3943.871759622938,8.330547609999998e-16
3944.815396700707,8.266240989999999e-16
3945.759033778476,8.450906169999999e-16
3946.7026708562453,8.453391449999999e-16
3947.646307934014,8.318698149999999e-16
3948.5899450117836,8.380253209999999e-16
3949.533582089552,8.51647762e-16
3950.4772191673214,8.380053499999999e-16
3951.4208562450904,8.222970489999999e-16
3952.3644933228597,8.13634073e-16
3953.3081304006287,8.070968989999999e-16
3954.2517674783976,7.99969471e-16
3955.1954045561665,8.249420969999999e-16
3956.1390416339354,8.388507889999998e-16
3957.082678711705,8.271167170000001e-16
3958.025333857031,8.173797449999999e-16
3958.9689709347995,8.4324219e-16
3959.912608012569,8.2938453500000005e-16
3960.856245090338,8.255811690000001e-16
3961.799882168107,8.30908988e-16
3962.743519245876,8.147591059999999e-16
3963.687156323645,8.10789315e-16
3964.630793401414,7.957311809999999e-16
3965.5744304791833,7.556626979999999e-16
3966.5180675569522,7.61953563e-16
3967.4617046347216,7.66788764e-16
3968.40534171249,7.494384030000001e-16
3969.3489787902595,7.224531439999999e-16
3970.2926158680284,6.982327589999999e-16
3971.2362529457973,7.16481815e-16
3972.1798900235667,7.490944580000001e-16
3973.1225451688924,7.43589119e-16
3974.0661822466614,7.19188995e-16
3975.0098193244307,7.42333165e-16
3975.9534564021997,7.79590175e-16
3976.8970934799686,7.809193559999999e-16
3977.8407305577375,7.798564550000001e-16
