wavelength,flux,fluxerr
3296.7955400985256,5.408153573689631e-15,-4.988281365426043e-19
3299.0716497019575,5.854226855791821e-15,-4.988281365426043e-19
3301.347759305389,5.306271705801839e-15,-4.988281365426043e-19
3303.623868908821,6.041866853820574e-15,-4.988281365426043e-19
3305.9009733154007,6.022367208483e-15,-4.988281365426043e-19
3308.177082918832,5.261780266956676e-15,-4.988281365426043e-19
3310.453192522264,5.5204654844324055e-15,-4.988281365426043e-19
3312.7293021256955,7.357563853962038e-15,-4.988281365426043e-19
3315.0054117291274,7.386082715101746e-15,-4.988281365426043e-19
3317.2825161357073,6.508900994993645e-15,-4.988281365426043e-19
3319.558625739139,6.082075424826736e-15,-4.988281365426043e-19
3321.8347353425706,4.882817004557627e-15,-4.988281365426043e-19
3324.1108449460025,6.0298244371909095e-15,-4.988281365426043e-19
3326.3879493525824,6.747431540285836e-15,-4.988281365426043e-19
3328.664058956014,6.107470311777996e-15,-4.988281365426043e-19
3330.9401685594457,6.843065459796731e-15,-4.988281365426043e-19
3333.216278162877,5.579972154054307e-15,-4.988281365426043e-19
3335.4933825694575,5.9670930200196426e-15,-4.988281365426043e-19
3337.7694921728894,6.784768070505843e-15,-4.988281365426043e-19
3340.045601776321,6.54019112355859e-15,-4.988281365426043e-19
3342.3217113797527,7.255077345908739e-15,-4.988281365426043e-19
3344.597820983184,5.632827781855639e-15,-4.988281365426043e-19
3346.874925389764,6.003472203310931e-15,-4.988281365426043e-19
3349.151034993196,6.7327690162723105e-15,-4.988281365426043e-19
3351.4271445966274,6.030429077356416e-15,-4.988281365426043e-19
3353.7032542000593,5.515074109623309e-15,-4.988281365426043e-19
3355.9803586066396,5.7065938820473934e-15,-4.988281365426043e-19
3358.256468210071,6.0250880892277776e-15,-4.988281365426043e-19
3360.532577813503,6.297982350592903e-15,-4.988281365426043e-19
3362.8086874169344,5.145336648416276e-15,-4.988281365426043e-19
3365.0857918235142,6.34584969702881e-15,-4.988281365426043e-19
3367.361901426946,6.468944357389778e-15,-4.988281365426043e-19
3369.6380110303776,6.6954828727327624e-15,-4.988281365426043e-19
