wavelength,flux,fluxerr
3293.8061566377246,5.146359453303317e-15,-4.370824990795158e-19
3296.0822662411565,5.172496103753324e-15,-4.370824990795158e-19
3298.35738104144,4.703405037822025e-15,-4.370824990795158e-19
3300.633490644872,5.097662281941225e-15,-4.370824990795158e-19
3302.908605445155,4.9279506530057034e-15,-4.370824990795158e-19
3305.1847150485864,4.986140020054876e-15,-4.370824990795158e-19
3307.4598298488695,5.199868947130021e-15,-4.370824990795158e-19
3309.7359394523014,5.2387648745733594e-15,-4.370824990795158e-19
3312.011054252585,5.2919211704210095e-15,-4.370824990795158e-19
3314.287163856017,6.268999229726945e-15,-4.370824990795158e-19
3316.5632734594483,5.301810713834526e-15,-4.370824990795158e-19
3318.8383882597313,5.6519182105719566e-15,-4.370824990795158e-19
3321.1144978631633,5.266888263655546e-15,-4.370824990795158e-19
3323.3896126634468,5.866176934615683e-15,-4.370824990795158e-19
3325.665722266878,6.121009276503255e-15,-4.370824990795158e-19
3327.9408370671617,6.283612796110311e-15,-4.370824990795158e-19
3330.216946670593,5.198456155213804e-15,-4.370824990795158e-19
3332.493056274025,6.112311776269046e-15,-4.370824990795158e-19
3334.768171074308,6.7849773273776825e-15,-4.370824990795158e-19
3337.0442806777396,6.570144656617994e-15,-4.370824990795158e-19
3339.319395478023,5.5097560240026595e-15,-4.370824990795158e-19
3341.595505081455,5.423487417618682e-15,-4.370824990795158e-19
3343.870619881738,6.0930624864105945e-15,-4.370824990795158e-19
3346.14672948517,6.422154703394303e-15,-4.370824990795158e-19
3348.4228390886014,5.844190360419561e-15,-4.370824990795158e-19
3350.697953888885,5.3128040009325866e-15,-4.370824990795158e-19
3352.9740634923164,5.0007094366908595e-15,-4.370824990795158e-19
3355.2491782926,5.4537741443225755e-15,-4.370824990795158e-19
3357.5252878960314,4.927244257047596e-15,-4.370824990795158e-19
3359.8004026963144,5.5289611641137286e-15,-4.370824990795158e-19
3362.0765122997464,5.6331987176820864e-15,-4.370824990795158e-19
3364.3526219031783,5.998714476255754e-15,-4.370824990795158e-19
3366.627736703462,6.030104946644192e-15,-4.370824990795158e-19
3368.9038463068932,5.224681105158575e-15,-4.370824990795158e-19
3371.1789611071763,5.7159353442755216e-15,-4.370824990795158e-19
3373.455070710608,5.773109267134913e-15,-4.370824990795158e-19
3375.7301855108913,6.000568765645788e-15,-4.370824990795158e-19
3378.0062951143227,6.165997869085278e-15,-4.370824990795158e-19
3380.2814099146067,5.927456783981578e-15,-4.370824990795158e-19
3382.557519518038,6.113503819448354e-15,-4.370824990795158e-19
3384.83362912147,5.833726870290082e-15,-4.370824990795158e-19
3387.108743921753,6.240125294939268e-15,-4.370824990795158e-19
3389.3848535251846,6.155092881481981e-15,-4.370824990795158e-19
3391.659968325468,6.507010517862064e-15,-4.370824990795158e-19
3393.9360779289,6.3508528613727455e-15,-4.370824990795158e-19
3396.211192729183,5.667635520639866e-15,-4.370824990795158e-19
3398.487302332615,5.2613253954854436e-15,-4.370824990795158e-19
3400.7634119360464,6.0875437679878734e-15,-4.370824990795158e-19
3403.0385267363295,5.825779915761363e-15,-4.370824990795158e-19
3405.3146363397614,6.22595322602972e-15,-4.370824990795158e-19
3407.589751140045,6.03006079689681e-15,-4.370824990795158e-19
3409.8658607434763,5.6109030952542924e-15,-4.370824990795158e-19
3412.14097554376,5.9983612782767e-15,-4.370824990795158e-19
3414.4170851471913,6.145424086805373e-15,-4.370824990795158e-19
3416.693194750623,6.319903888458125e-15,-4.370824990795158e-19
3418.9683095509067,5.8894438514858745e-15,-4.370824990795158e-19
3421.244419154338,6.368468610578071e-15,-4.370824990795158e-19
3423.5195339546212,6.7865225685360446e-15,-4.370824990795158e-19
3425.795643558053,6.806345805110459e-15,-4.370824990795158e-19
3428.070758358336,6.082863894765406e-15,-4.370824990795158e-19
3430.346867961768,5.6239714204792964e-15,-4.370824990795158e-19
3432.6229775651996,6.0940779306003754e-15,-4.370824990795158e-19
3434.898092365483,6.155269480471507e-15,-4.370824990795158e-19
3437.174201968915,6.354605589900196e-15,-4.370824990795158e-19
3439.449316769198,6.489262319414592e-15,-4.370824990795158e-19
3441.7254263726295,6.785021477125065e-15,-4.370824990795158e-19
3444.0005411729135,6.0077651744690164e-15,-4.370824990795158e-19
3446.276650776345,6.342552708864973e-15,-4.370824990795158e-19
3448.551765576628,6.688289380611608e-15,-4.370824990795158e-19
3450.82787518006,6.605376155028645e-15,-4.370824990795158e-19
3453.1039847834913,6.56157960562593e-15,-4.370824990795158e-19
3455.3790995837744,6.369086707041416e-15,-4.370824990795158e-19
3457.6552091872063,6.8598994486845455e-15,-4.370824990795158e-19
3459.93032398749,6.570542004344429e-15,-4.370824990795158e-19
3462.2064335909217,6.109132994457559e-15,-4.370824990795158e-19
3464.481548391205,6.353634295457797e-15,-4.370824990795158e-19
3466.7576579946362,6.076506331142431e-15,-4.370824990795158e-19
3469.033767598068,6.966123740885082e-15,-4.370824990795158e-19
3471.3088823983517,6.814072010902269e-15,-4.370824990795158e-19
3473.584992001783,6.096859364685427e-15,-4.370824990795158e-19
3475.860106802066,5.951606695799406e-15,-4.370824990795158e-19
3478.136216405498,5.536113423189575e-15,-4.370824990795158e-19
3480.411331205781,6.1878519940392536e-15,-4.370824990795158e-19
3482.687440809213,6.38140448656093e-15,-4.370824990795158e-19
3484.9635504126445,6.5038758857979575e-15,-4.370824990795158e-19
3487.238665212928,6.166042018832659e-15,-4.370824990795158e-19
3489.51477481636,5.554479718100392e-15,-4.370824990795158e-19
3491.789889616643,6.187675395049726e-15,-4.370824990795158e-19
3494.0659992200744,6.529615188521529e-15,-4.370824990795158e-19
3496.3411140203584,6.608290038355842e-15,-4.370824990795158e-19
3498.6172236237894,5.742292743462438e-15,-4.370824990795158e-19
3500.8933332272213,5.5416321416122965e-15,-4.370824990795158e-19
3503.168448027505,5.997036785855247e-15,-4.370824990795158e-19
3505.4445576309363,6.118360291660349e-15,-4.370824990795158e-19
3507.7196724312194,6.506304121903955e-15,-4.370824990795158e-19
3509.9957820346513,6.888861682966986e-15,-4.370824990795158e-19
3512.270896834935,7.081751929277936e-15,-4.370824990795158e-19
3514.5470064383667,6.5766346694831136e-15,-4.370824990795158e-19
3516.8221212386497,6.92939115106345e-15,-4.370824990795158e-19
3519.098230842081,6.6487312069575426e-15,-4.370824990795158e-19
3521.374340445513,6.535442955175923e-15,-4.370824990795158e-19
3523.649455245796,6.128735482295064e-15,-4.370824990795158e-19
3525.9255648492276,6.351426808088709e-15,-4.370824990795158e-19
3528.2006796495116,6.013725390365555e-15,-4.370824990795158e-19
3530.476789252943,6.156638122640343e-15,-4.370824990795158e-19
3532.751904053226,6.409969373116934e-15,-4.370824990795158e-19
3535.028013656658,6.146571980237299e-15,-4.370824990795158e-19
3537.3041232600895,7.095923998187484e-15,-4.370824990795158e-19
3539.579238060373,7.105504493369328e-15,-4.370824990795158e-19
3541.855347663805,6.272884407496541e-15,-4.370824990795158e-19
3544.130462464088,6.368071262851636e-15,-4.370824990795158e-19
3546.40657206752,7.053716839690512e-15,-4.370824990795158e-19
3548.681686867803,6.848023166638849e-15,-4.370824990795158e-19
3550.9577964712344,6.759547072885784e-15,-4.370824990795158e-19
3553.2339060746663,6.681048822040998e-15,-4.370824990795158e-19
3555.50902087495,6.585994415928049e-15,-4.370824990795158e-19
3557.7851304783812,6.0743871432681066e-15,-4.370824990795158e-19
3560.0602452786648,5.754698822476715e-15,-4.370824990795158e-19
3562.336354882096,6.437386366241013e-15,-4.370824990795158e-19
3564.6114696823797,6.409307126906208e-15,-4.370824990795158e-19
3566.8875792858116,6.4800791719591845e-15,-4.370824990795158e-19
3569.163688889243,7.483779528936326e-15,-4.370824990795158e-19
3571.438803689526,6.870318789066643e-15,-4.370824990795158e-19
3573.714913292958,6.45177918388747e-15,-4.370824990795158e-19
3575.990028093241,6.748068138566523e-15,-4.370824990795158e-19
3578.266137696673,6.545155899599912e-15,-4.370824990795158e-19
3580.5412524969565,6.1889998874711796e-15,-4.370824990795158e-19
3582.817362100388,6.2928400933131005e-15,-4.370824990795158e-19
3585.092476900671,6.179507691784099e-15,-4.370824990795158e-19
3587.368586504103,6.510983995126423e-15,-4.370824990795158e-19
3589.6446961075344,6.808332543742639e-15,-4.370824990795158e-19
3591.919810907818,5.752888682834062e-15,-4.370824990795158e-19
3594.19592051125,6.004939590636583e-15,-4.370824990795158e-19
3596.471035311533,7.057248819481054e-15,-4.370824990795158e-19
3598.747144914965,7.012216077151649e-15,-4.370824990795158e-19
