wavelength,flux,fluxerr
3491.731,5.002334075960259e-15,-3.586162232666394e-19
3494.018,4.88315757348074e-15,-3.586162232666394e-19
3496.306,4.542254818211816e-15,-3.586162232666394e-19
3498.593,5.076991453349405e-15,-3.586162232666394e-19
3500.881,5.235796859692935e-15,-3.586162232666394e-19
3503.169,5.336281849929466e-15,-3.586162232666394e-19
3505.456,5.0590968660470096e-15,-3.586162232666394e-19
3507.744,4.557323944361202e-15,-3.586162232666394e-19
3510.031,5.076846557905661e-15,-3.586162232666394e-19
3512.319,5.357400360855168e-15,-3.586162232666394e-19
3514.606,5.421951281043164e-15,-3.586162232666394e-19
3516.894,4.711420248783049e-15,-3.586162232666394e-19
3519.182,4.5467828008288195e-15,-3.586162232666394e-19
3521.469,4.920431926383909e-15,-3.586162232666394e-19
3523.757,5.019975096236103e-15,-3.586162232666394e-19
3526.044,5.338274162280948e-15,-3.586162232666394e-19
3528.332,5.652153917291597e-15,-3.586162232666394e-19
3530.619,5.810415965721087e-15,-3.586162232666394e-19
3532.907,5.395978772752034e-15,-3.586162232666394e-19
3535.194,5.685407421630867e-15,-3.586162232666394e-19
3537.482,5.4551323376605615e-15,-3.586162232666394e-19
3539.77,5.362181910498724e-15,-3.586162232666394e-19
3542.057,5.028487703556069e-15,-3.586162232666394e-19
3544.345,5.2112008581173746e-15,-3.586162232666394e-19
3546.632,4.934124545817726e-15,-3.586162232666394e-19
3548.92,5.051381183667636e-15,-3.586162232666394e-19
3551.207,5.259233697718543e-15,-3.586162232666394e-19
3553.495,5.0431221433742226e-15,-3.586162232666394e-19
3555.783,5.8220438250815504e-15,-3.586162232666394e-19
3558.07,5.829904402904668e-15,-3.586162232666394e-19
3560.358,5.146758609512188e-15,-3.586162232666394e-19
3562.645,5.224857253690256e-15,-3.586162232666394e-19
3564.933,5.787413814026711e-15,-3.586162232666394e-19
3567.22,5.6186468459257745e-15,-3.586162232666394e-19
3569.508,5.5460542286099824e-15,-3.586162232666394e-19
3571.796,5.481648203865731e-15,-3.586162232666394e-19
3574.083,5.403658231270471e-15,-3.586162232666394e-19
3576.371,4.983896130743823e-15,-3.586162232666394e-19
3578.658,4.721599153706072e-15,-3.586162232666394e-19
3580.946,5.281728715359814e-15,-3.586162232666394e-19
3583.233,5.258690339804502e-15,-3.586162232666394e-19
3585.521,5.3167571888849496e-15,-3.586162232666394e-19
3587.809,6.140270443404523e-15,-3.586162232666394e-19
3590.096,5.636939895698467e-15,-3.586162232666394e-19
3592.384,5.293537694024958e-15,-3.586162232666394e-19
3594.671,5.536636024766616e-15,-3.586162232666394e-19
3596.959,5.370151159904649e-15,-3.586162232666394e-19
3599.246,5.077933273733742e-15,-3.586162232666394e-19
3601.534,5.1631317946552706e-15,-3.586162232666394e-19
3603.821,5.070145143632497e-15,-3.586162232666394e-19
3606.109,5.342113891540166e-15,-3.586162232666394e-19
3608.397,5.586081594944289e-15,-3.586162232666394e-19
3610.684,4.720113975407695e-15,-3.586162232666394e-19
3612.972,4.926915997491457e-15,-3.586162232666394e-19
3615.259,5.7903117229015934e-15,-3.586162232666394e-19
3617.547,5.7533633847468485e-15,-3.586162232666394e-19
3619.834,5.0732603956729944e-15,-3.586162232666394e-19
3622.122,5.088981551319229e-15,-3.586162232666394e-19
3624.41,6.079197013866386e-15,-3.586162232666394e-19
3626.697,5.862107415276794e-15,-3.586162232666394e-19
3628.985,5.119482042227362e-15,-3.586162232666394e-19
3631.272,5.827767195109443e-15,-3.586162232666394e-19
3633.56,5.7817991155816275e-15,-3.586162232666394e-19
3635.847,6.042574690460066e-15,-3.586162232666394e-19
3638.135,5.659616032644418e-15,-3.586162232666394e-19
3640.423,5.531745803540253e-15,-3.586162232666394e-19
3642.71,5.116149447021247e-15,-3.586162232666394e-19
3644.998,5.407280617364074e-15,-3.586162232666394e-19
3647.285,5.072065008262106e-15,-3.586162232666394e-19
3649.573,5.891774757383397e-15,-3.586162232666394e-19
3651.86,5.568802813277806e-15,-3.586162232666394e-19
3654.148,5.139803628212471e-15,-3.586162232666394e-19
